party,priority,name,yomi,lastname,firstname,last_kana,first_kana,age,status,previous,home,win,votes
自民,1,舞立 昇治,まいたち しょうじ,舞立,昇治,まいたち,しょうじ,49,現,3,鳥取県,1,NA
自民,1,福山 守,ふくやま まもる,福山,守,ふくやま,まもる,72,新,1,徳島県,1,NA
自民,0,犬童 周作,いんどう しゅうさく,犬童,周作,いんどう,しゅうさく,57,新,1,神奈川県,1,482058
自民,0,山田 太郎,やまだ たろう,山田,太郎,やまだ,たろう,58,現,3,東京都,1,381185
自民,0,見坂 茂範,けんざか しげのり,見坂,茂範,けんざか,しげのり,57,新,1,千葉県,1,218072
自民,0,東野 秀樹,ひがしの ひでき,東野,秀樹,ひがしの,ひでき,53,新,1,北海道,1,187946
自民,0,橋本 聖子,はしもと せいこ,橋本,聖子,はしもと,せいこ,60,現,6,千葉県,1,176404
自民,0,釜萢 敏,かまやち さとし,釜萢,敏,かまやち,さとし,72,新,1,東京都,1,174434
自民,0,有村 治子,ありむら はるこ,有村,治子,ありむら,はるこ,54,現,5,東京都,1,166025
自民,0,石田 昌宏,いしだ まさひろ,石田,昌宏,いしだ,まさひろ,58,現,3,東京都,1,152649
自民,0,本田 顕子,ほんだ あきこ,本田,顕子,ほんだ,あきこ,53,現,2,熊本県,1,152518
自民,0,鈴木 宗男,すずき むねお,鈴木,宗男,すずき,むねお,77,前,2,北海道,1,132633
自民,0,佐藤 正久,さとう まさひさ,佐藤,正久,さとう,まさひさ,64,現,3,埼玉県,0,127619
自民,0,宮崎 雅夫,みやざき まさお,宮崎,雅夫,みやざき,まさお,61,現,1,東京都,0,127001
自民,0,山東 昭子,さんとう あきこ,山東,昭子,さんとう,あきこ,83,現,8,東京都,0,126381
自民,0,岸 博幸,きし ひろゆき,岸,博幸,きし,ひろゆき,62,新,0,東京都,0,110391
自民,0,赤池 誠章,あかいけ まさあき,赤池,誠章,あかいけ,まさあき,64,現,2,山梨県,0,102834
自民,0,比嘉 奈津美,ひが なつみ,比嘉,奈津美,ひが,なつみ,66,現,1,沖縄県,0,101975
自民,0,田中 昌史,たなか まさし,田中,昌史,たなか,まさし,59,現,1,東京都,0,88432
自民,0,阿部 恭久,あべ やすひさ,阿部,恭久,あべ,やすひさ,66,新,0,東京都,0,88368
自民,0,宮窪 大作,みやくぼ だいさく,宮窪,大作,みやくぼ,だいさく,50,新,0,NA,0,80326
自民,0,中田 宏,なかだ ひろし,中田,宏,なかだ,ひろし,60,現,1,神奈川県,0,79307
自民,0,杉田 水脈,すぎた みお,杉田,水脈,すぎた,みお,58,新,0,山口県,0,77040
自民,0,和田 政宗,わだ まさむね,和田,政宗,わだ,まさむね,50,現,2,宮城県,0,64665
自民,0,斉藤 正行,さいとう まさゆき,斉藤,正行,さいとう,まさゆき,47,新,0,東京都,0,52988
自民,0,繁本 護,しげもと まもる,繁本,護,しげもと,まもる,52,新,0,京都府,0,45406
自民,0,長尾 敬,ながお たかし,長尾,敬,ながお,たかし,62,新,0,大阪府,0,34948
自民,0,中田 フィッシュ,なかた ふぃっしゅ,中田,フィッシュ,なかた,ふぃっしゅ,39,新,0,東京都,0,26738
自民,0,斉藤 里恵,さいとう りえ,斉藤,里恵,さいとう,りえ,41,新,0,NA,0,24780
自民,0,畦元 将吾,あぜもと しょうご,畦元,将吾,あぜもと,しょうご,67,新,0,東京都,0,19540
自民,0,藤田 誠,ふじた まこと,藤田,誠,ふじた,まこと,52,新,0,東京都,0,9366
公明,0,平木 大作,ひらき だいさく,平木,大作,ひらき,だいさく,50,現,3,千葉県,1,377986
公明,0,司 隆史,つかさ たかし,司,隆史,つかさ,たかし,45,新,1,大阪府,1,341441
公明,0,佐々木 雅文,ささき まさふみ,佐々木,雅文,ささき,まさふみ,44,新,1,宮城県,1,325345
公明,0,原田 大二郎,はらだ だいじろう,原田,大二郎,はらだ,だいじろう,47,新,1,愛媛県,1,310047
公明,0,河野 義博,かわの よしひろ,河野,義博,かわの,よしひろ,47,現,2,東京都,0,291436
公明,0,新妻 秀規,にいづま ひでき,新妻,秀規,にいづま,ひでき,54,現,2,愛知県,0,218999
公明,0,河合 綾,かわい あや,河合,綾,かわい,あや,59,新,0,群馬県,0,10084
公明,0,塩田 博昭,しおた ひろあき,塩田,博昭,しおた,ひろあき,63,現,1,東京都,0,9874
公明,0,村岡 正敏,むらおか まさとし,村岡,正敏,むらおか,まさとし,43,新,0,東京都,0,8760
公明,0,中北 京子,なかきた きょうこ,中北,京子,なかきた,きょうこ,47,新,0,東京都,0,7208
公明,0,高橋 次郎,たかはし じろう,高橋,次郎,たかはし,じろう,57,現,1,埼玉県,0,6781
公明,0,竹原 浩子,たけはら ひろこ,竹原,浩子,たけはら,ひろこ,34,新,0,東京都,0,4664
公明,0,竹島 正人,たけしま まさと,竹島,正人,たけしま,まさと,47,新,0,東京都,0,3985
公明,0,水島 春香,みずしま はるか,水島,春香,みずしま,はるか,36,新,0,埼玉県,0,3527
公明,0,藤井 伸城,ふじい のぶしろ,藤井,伸城,ふじい,のぶしろ,45,新,0,東京都,0,2275
公明,0,羽場 正文,はば まさふみ,羽場,正文,はば,まさふみ,42,新,0,東京都,0,1799
公明,0,荒神 享佑,こうじん きょうすけ,荒神,享佑,こうじん,きょうすけ,48,新,0,東京都,0,754
立憲,0,蓮舫,れんほう,蓮舫,NA,れんほう,NA,57,前,5,東京都,1,339311
立憲,0,岸 真紀子,きし まきこ,岸,真紀子,きし,まきこ,49,現,2,北海道,1,147648
立憲,0,吉川 沙織,よしかわ さおり,吉川,沙織,よしかわ,さおり,48,現,4,東京都,1,116314
立憲,0,水岡 俊一,みずおか しゅんいち,水岡,俊一,みずおか,しゅんいち,69,現,4,兵庫県,1,116142
立憲,0,小沢 雅仁,おざわ まさひと,小沢,雅仁,おざわ,まさひと,59,現,2,山梨県,1,99963
立憲,0,郡山 玲,こおりやま りょう,郡山,玲,こおりやま,りょう,51,新,1,東京都,1,94610
立憲,0,森 ゆうこ,もり ゆうこ,森,ゆうこ,もり,ゆうこ,69,前,4,新潟県,1,92395
立憲,0,白 真勲,はく しんくん,白,真勲,はく,しんくん,66,前,3,東京都,0,89882
立憲,0,石川 大我,いしかわ たいが,石川,大我,いしかわ,たいが,51,現,1,東京都,0,84721
立憲,0,森屋 隆,もりや たかし,森屋,隆,もりや,たかし,58,現,1,東京都,0,74495
立憲,0,川田 龍平,かわだ りゅうへい,川田,龍平,かわだ,りゅうへい,49,現,3,京都府,0,51276
立憲,0,太田 真平,おおた しんぺい,太田,真平,おおた,しんぺい,38,新,0,静岡県,0,8109
立憲,0,木村 正弘,きむら まさひろ,木村,正弘,きむら,まさひろ,59,新,0,山形県,0,7300
立憲,0,原谷 那美,はらや なみ,原谷,那美,はらや,なみ,41,新,0,北海道,0,3944
立憲,0,平原 麗子,ひらはら れいこ,平原,麗子,ひらはら,れいこ,47,新,0,兵庫県,0,3943
立憲,0,渡辺 雅行,わたなべ まさゆき,渡辺,雅行,わたなべ,まさゆき,63,新,0,富山県,0,3926
立憲,0,越智 紀江,おち のりえ,越智,紀江,おち,のりえ,48,新,0,愛媛県,0,3408
立憲,0,古山 葉子,ふるやま ようこ,古山,葉子,ふるやま,ようこ,60,新,0,東京都,0,3171
