prefecture,name,yomi,lastname,firstname,last_kana,first_kana,age,party,recommended,status,previous,n_cand,win,votes,vshare,magnitude
兵庫,前田 実咲,まえだ みさ,前田,実咲,まえだ,みさ,33,諸派,NA,新,0,13,0,46703,1.75,3
兵庫,米村 明美,よねむら あけみ,米村,明美,よねむら,あけみ,66,れいわ,NA,新,0,13,0,85452,3.2,3
兵庫,高橋 光男,たかはし みつお,高橋,光男,たかはし,みつお,48,公明,自民,現,1,13,1,339822,12.72,3
兵庫,立花 孝志,たちばな たかし,立花,孝志,たちばな,たかし,57,諸派,NA,元,1,13,0,157005,5.88,3
兵庫,吉平 敏孝,よしひら としたか,吉平,敏孝,よしひら,としたか,44,維新,NA,新,0,13,0,275301,10.3,3
兵庫,泉 房穂,いずみ ふさほ,泉,房穂,いずみ,ふさほ,61,無所,NA,新,0,13,1,822407,30.78,3
兵庫,金田 峰生,かねだ みねお,金田,峰生,かねだ,みねお,59,共産,NA,新,0,13,0,87748,3.28,3
奈良,川戸 康嗣,かわと やすし,川戸,康嗣,かわと,やすし,49,立憲,NA,新,0,7,0,68689,10.41,1
奈良,杉本 葵,すぎもと あおい,杉本,葵,すぎもと,あおい,34,国民,NA,新,0,7,0,143740,21.78,1
奈良,太田 敦,おおた あつし,太田,敦,おおた,あつし,53,共産,NA,新,0,7,0,46787,7.09,1
奈良,堀井 巌,ほりい いわお,堀井,巌,ほりい,いわお,59,自民,公明,現,2,7,1,175450,26.59,1
奈良,黒川 洋司,くろかわ ようじ,黒川,洋司,くろかわ,ようじ,53,参政,NA,新,0,7,0,88988,13.49,1
奈良,平 将生,たいら まさき,平,将生,たいら,まさき,49,維新,NA,新,0,7,0,127173,19.27,1
奈良,川崎 智之,かわさき ともゆき,川崎,智之,かわさき,ともゆき,38,諸派,NA,新,0,7,0,8994,1.36,1
和歌山,前 久,まえ ひさし,前,久,まえ,ひさし,69,共産,NA,新,0,7,0,29881,6.76,1
和歌山,二階 伸康,にかい のぶやす,二階,伸康,にかい,のぶやす,47,自民,NA,新,0,7,0,107390,24.29,1
和歌山,望月 良男,もちづき よしお,望月,良男,もちづき,よしお,53,無所,NA,新,0,7,1,141604,32.03,1
和歌山,浦平 美博,うらひら よしひろ,浦平,美博,うらひら,よしひろ,53,維新,NA,新,0,7,0,53655,12.13,1
和歌山,末吉 亜矢,すえよし あや,末吉,亜矢,すえよし,あや,54,無所,NA,新,0,7,0,15298,3.46,1
和歌山,本間 奈々,ほんま なな,本間,奈々,ほんま,なな,56,諸派,NA,新,0,7,0,7000,1.58,1
和歌山,林元 政子,はやしもと まさこ,林元,政子,はやしもと,まさこ,51,参政,NA,新,0,7,0,87328,19.75,1
鳥取・島根,中山 集,なかやま あつむ,中山,集,なかやま,あつむ,31,国民,NA,新,0,5,0,120088,21.86,1
鳥取・島根,出川 桃子,でがわ ももこ,出川,桃子,でがわ,ももこ,47,自民,公明,新,0,5,1,289250,52.64,1
鳥取・島根,亀谷 優子,かめたに ゆうこ,亀谷,優子,かめたに,ゆうこ,39,共産,NA,新,0,5,0,47754,8.69,1
鳥取・島根,倉井 克幸,くらい かつゆき,倉井,克幸,くらい,かつゆき,42,参政,NA,新,0,5,0,84398,15.36,1
