prefecture,dist_no,district,name,yomi,lastname,firstname,last_kana,first_kana,age,party,recommended,status,previous,duplicate,win_smd,win_pr,votes,vshare
北海道,1,北海道1区,小林 悟,こばやし さとる,小林,悟,こばやし,さとる,57,維新,NA,新,0,1,0,0,35652,13.66
北海道,1,北海道1区,道下 大樹,みちした だいき,道下,大樹,みちした,だいき,45,立憲,NA,前,1,1,1,0,118286,45.33
北海道,1,北海道1区,船橋 利実,ふなはし としみつ,船橋,利実,ふなはし,としみつ,60,自民,公明,前,2,1,0,0,106985,41
北海道,2,北海道2区,高橋 祐介,たかはし ゆうすけ,高橋,祐介,たかはし,ゆうすけ,41,自民,公明,新,0,1,0,0,89745,37.93
北海道,2,北海道2区,松木 謙公,まつき けんこう,松木,謙公,まつき,けんこう,62,立憲,れいわ,前,5,1,1,0,105807,44.71
北海道,2,北海道2区,山崎 泉,やまざき いずみ,山崎,泉,やまざき,いずみ,48,維新,NA,新,0,1,0,0,41076,17.36
北海道,3,北海道3区,高木 宏寿,たかぎ ひろひさ,高木,宏寿,たかぎ,ひろひさ,61,自民,公明,元,2,1,1,0,116917,44.66
北海道,3,北海道3区,荒井 優,あらい ゆたか,荒井,優,あらい,ゆたか,46,立憲,NA,新,0,1,0,1,112535,42.99
北海道,3,北海道3区,小和田 康文,こわだ やすふみ,小和田,康文,こわだ,やすふみ,51,維新,NA,新,0,1,0,0,32340,12.35
北海道,4,北海道4区,大築 紅葉,おおつき くれは,大築,紅葉,おおつき,くれは,38,立憲,NA,新,0,1,0,1,108630,49.84
北海道,4,北海道4区,中村 裕之,なかむら ひろゆき,中村,裕之,なかむら,ひろゆき,60,自民,公明,前,3,1,1,0,109326,50.16
北海道,5,北海道5区,大津 伸太郎,おおつ しんたろう,大津,伸太郎,おおつ,しんたろう,56,無所,NA,新,0,0,0,0,8520,3.08
北海道,5,北海道5区,和田 義明,わだ よしあき,和田,義明,わだ,よしあき,50,自民,公明,前,2,1,1,0,139950,50.6
北海道,5,北海道5区,橋本 美香,はしもと みか,橋本,美香,はしもと,みか,51,共産,NA,新,0,0,0,0,16758,6.06
北海道,5,北海道5区,池田 真紀,いけだ まき,池田,真紀,いけだ,まき,49,立憲,NA,前,1,1,0,0,111366,40.26
北海道,6,北海道6区,斉藤 忠行,さいとう ただゆき,斉藤,忠行,さいとう,ただゆき,30,Ｎ党,NA,新,0,1,0,0,9776,4.22
北海道,6,北海道6区,西川 将人,にしかわ まさひと,西川,将人,にしかわ,まさひと,52,立憲,NA,新,0,1,0,0,93403,40.29
北海道,6,北海道6区,東 国幹,あずま くによし,東,国幹,あずま,くによし,53,自民,公明,新,0,1,1,0,128670,55.5
北海道,7,北海道7区,伊東 良孝,いとう よしたか,伊東,良孝,いとう,よしたか,72,自民,公明,前,4,1,1,0,80797,58.01
北海道,7,北海道7区,篠田 奈保子,しのだ なおこ,篠田,奈保子,しのだ,なおこ,49,立憲,NA,新,0,1,0,0,45563,32.71
北海道,7,北海道7区,石川 明美,いしかわ あけみ,石川,明美,いしかわ,あけみ,70,共産,NA,新,0,0,0,0,12913,9.27
北海道,8,北海道8区,逢坂 誠二,おおさか せいじ,逢坂,誠二,おおさか,せいじ,62,立憲,NA,前,4,1,1,0,112857,52.68
北海道,8,北海道8区,前田 一男,まえだ かずお,前田,一男,まえだ,かずお,55,自民,公明,元,2,1,0,0,101379,47.32
北海道,9,北海道9区,山岡 達丸,やまおか たつまる,山岡,達丸,やまおか,たつまる,42,立憲,NA,前,2,1,1,0,113512,51.51
