prefecture,dist_no,district,name,yomi,lastname,firstname,last_kana,first_kana,age,party,recommended,status,previous,duplicate,win_smd,win_pr,votes,vshare
東京,8,東京8区,長内 史子,おさない ふみこ,長内,史子,おさない,ふみこ,29,共産,NA,新,0,0,0,0,22399,8.8
東京,8,東京8区,吉田 晴美,よしだ はるみ,吉田,晴美,よしだ,はるみ,45,立憲,NA,新,0,1,0,0,76283,29.96
東京,8,東京8区,石原 伸晃,いしはら のぶてる,石原,伸晃,いしはら,のぶてる,60,自民,公明,前,9,1,1,0,99863,39.22
東京,9,東京9区,高松 智之,たかまつ さとし,高松,智之,たかまつ,さとし,43,希望,NA,新,0,1,0,0,64731,26.03
東京,9,東京9区,原 純子,はら じゅんこ,原,純子,はら,じゅんこ,53,共産,NA,新,0,1,0,0,57439,23.1
東京,9,東京9区,菅原 一秀,すがわら いっしゅう,菅原,一秀,すがわら,いっしゅう,55,自民,公明,前,5,1,1,0,122279,49.17
東京,9,東京9区,前田 吉成,まえだ よしなり,前田,吉成,まえだ,よしなり,62,無所,NA,新,0,0,0,0,4243,1.71
東京,10,東京10区,若狭 勝,わかさ まさる,若狭,勝,わかさ,まさる,60,希望,NA,前,2,1,0,0,57901,23.74
東京,10,東京10区,鈴木 庸介,すずき ようすけ,鈴木,庸介,すずき,ようすけ,41,立憲,NA,新,0,1,0,0,70168,28.77
東京,10,東京10区,鈴木 隼人,すずき はやと,鈴木,隼人,すずき,はやと,40,自民,公明,前,1,1,1,0,91146,37.37
東京,10,東京10区,岸 良信,きし よしのぶ,岸,良信,きし,よしのぶ,62,共産,NA,新,0,0,0,0,20828,8.54
東京,10,東京10区,吉井 利光,よしい としみつ,吉井,利光,よしい,としみつ,35,諸派,NA,新,0,0,0,0,1744,0.72
東京,10,東京10区,小山 徹,こやま とおる,小山,徹,こやま,とおる,42,無所,NA,新,0,0,0,0,2107,0.86
東京,11,東京11区,宍戸 千絵,ししど ちえ,宍戸,千絵,ししど,ちえ,39,希望,NA,新,0,1,0,0,42668,18.31
東京,11,東京11区,前田 順一郎,まえだ じゅんいちろう,前田,順一郎,まえだ,じゅんいちろう,42,立憲,NA,新,0,1,0,0,60291,25.88
東京,11,東京11区,下村 博文,しもむら はくぶん,下村,博文,しもむら,はくぶん,63,自民,公明,前,7,1,1,0,104612,44.9
東京,11,東京11区,小堤 東,こづつみ あずま,小堤,東,こづつみ,あずま,28,共産,NA,新,0,0,0,0,25426,10.91
東京,12,東京12区,中村 勝,なかむら まさる,中村,勝,なかむら,まさる,66,諸派,NA,新,0,0,0,0,21892,10.04
東京,12,東京12区,池内 沙織,いけうち さおり,池内,沙織,いけうち,さおり,35,共産,NA,前,1,1,0,0,83544,38.32
東京,12,東京12区,太田 昭宏,おおた あきひろ,太田,昭宏,おおた,あきひろ,72,公明,自民,前,7,0,1,0,112597,51.64
東京,13,東京13区,祖父江 元希,そぶえ もとき,祖父江,元希,そぶえ,もとき,42,共産,NA,新,0,0,0,0,30807,14.09
東京,13,東京13区,鴨下 一郎,かもした いちろう,鴨下,一郎,かもした,いちろう,68,自民,公明,前,8,1,1,0,120744,55.23
東京,13,東京13区,北條 智彦,きたじょう ともひこ,北條,智彦,きたじょう,ともひこ,34,立憲,NA,新,0,1,0,0,67070,30.68
東京,14,東京14区,矢作 麻子,やはぎ あさこ,矢作,麻子,やはぎ,あさこ,39,希望,NA,新,0,1,0,0,63235,28.5
東京,14,東京14区,阿藤 和之,あとう かずゆき,阿藤,和之,あとう,かずゆき,46,共産,NA,新,0,0,0,0,46600,21
東京,14,東京14区,松島 みどり,まつしま みどり,松島,みどり,まつしま,みどり,61,自民,公明,前,5,1,1,0,104137,46.94
東京,14,東京14区,清井 美穂,せいい みほ,清井,美穂,せいい,みほ,54,諸派,NA,新,0,0,0,0,4282,1.93
東京,14,東京14区,大塚 紀久雄,おおつか きくお,大塚,紀久雄,おおつか,きくお,76,無所,NA,新,0,0,0,0,3607,1.63
東京,15,東京15区,吉田 年男,よしだ としお,吉田,年男,よしだ,としお,69,共産,NA,新,0,0,0,0,34943,15.73
東京,15,東京15区,柿沢 未途,かきざわ みと,柿沢,未途,かきざわ,みと,46,希望,NA,前,3,1,0,1,70325,31.67
東京,15,東京15区,猪野 隆,いの たかし,猪野,隆,いの,たかし,52,無所,NA,新,0,0,0,0,15667,7.05
東京,15,東京15区,秋元 司,あきもと つかさ,秋元,司,あきもと,つかさ,46,自民,公明,前,2,1,1,0,101155,45.55
東京,16,東京16区,大西 英男,おおにし ひでお,大西,英男,おおにし,ひでお,71,自民,公明,前,2,1,1,0,84457,40.91
東京,16,東京16区,初鹿 明博,はつしか あきひろ,初鹿,明博,はつしか,あきひろ,48,立憲,NA,前,2,1,0,1,71405,34.59
東京,16,東京16区,田村 謙治,たむら けんじ,田村,謙治,たむら,けんじ,49,希望,NA,元,3,1,0,0,50568,24.5
東京,17,東京17区,新井 杉生,あらい すぎお,新井,杉生,あらい,すぎお,58,共産,NA,新,0,0,0,0,43138,19.59
東京,17,東京17区,平沢 勝栄,ひらさわ かつえい,平沢,勝栄,ひらさわ,かつえい,72,自民,NA,前,7,1,1,0,127632,57.95
東京,17,東京17区,西田 主税,にしだ ちから,西田,主税,にしだ,ちから,55,希望,NA,新,0,1,0,0,49485,22.47
東京,18,東京18区,鴇田 敦,ときた あつし,鴇田,敦,ときた,あつし,51,希望,NA,新,0,1,0,0,45081,18.98
東京,18,東京18区,菅 直人,かん なおと,菅,直人,かん,なおと,71,立憲,NA,前,12,1,1,0,96713,40.73
東京,18,東京18区,土屋 正忠,つちや まさただ,土屋,正忠,つちや,まさただ,75,自民,公明,前,3,0,0,0,95667,40.29
東京,19,東京19区,佐々木 里加,ささき りか,佐々木,里加,ささき,りか,50,希望,NA,新,0,1,0,0,29743,12.72
東京,19,東京19区,杉下 茂雄,すぎした しげお,杉下,茂雄,すぎした,しげお,68,共産,NA,新,0,0,0,0,17377,7.43
東京,19,東京19区,松本 洋平,まつもと ようへい,松本,洋平,まつもと,ようへい,44,自民,公明,前,3,1,1,0,96229,41.14
東京,19,東京19区,末松 義規,すえまつ よしのり,末松,義規,すえまつ,よしのり,60,立憲,NA,元,5,1,0,1,90540,38.71
東京,20,東京20区,木原 誠二,きはら せいじ,木原,誠二,きはら,せいじ,47,自民,公明,前,3,1,1,0,107686,49.89
東京,20,東京20区,鹿野 晃,かの あきら,鹿野,晃,かの,あきら,44,希望,NA,新,0,1,0,0,50439,23.37
東京,20,東京20区,宮本 徹,みやもと とおる,宮本,徹,みやもと,とおる,45,共産,NA,前,1,1,0,1,57741,26.75
東京,21,東京21区,小糸 健介,こいと けんすけ,小糸,健介,こいと,けんすけ,35,社民,立憲,新,0,1,0,0,38195,16.94
東京,21,東京21区,長島 昭久,ながしま あきひさ,長島,昭久,ながしま,あきひさ,55,希望,NA,前,5,1,1,0,92356,40.97
東京,21,東京21区,天木 直人,あまき なおと,天木,直人,あまき,なおと,70,諸派,NA,新,0,0,0,0,6655,2.95
東京,21,東京21区,小田原 潔,おだわら きよし,小田原,潔,おだわら,きよし,53,自民,公明,前,2,1,0,1,88225,39.14
東京,22,東京22区,山花 郁夫,やまはな いくお,山花,郁夫,やまはな,いくお,50,立憲,NA,元,3,1,0,1,91073,35.76
東京,22,東京22区,伊藤 達也,いとう たつや,伊藤,達也,いとう,たつや,56,自民,公明,前,7,1,1,0,110493,43.39
東京,22,東京22区,金ケ崎 絵美,かながさき えみ,金ケ崎,絵美,かながさき,えみ,41,希望,NA,新,0,1,0,0,30236,11.87
東京,22,東京22区,阿部 真,あべ まこと,阿部,真,あべ,まこと,43,共産,NA,新,0,0,0,0,22859,8.98
東京,23,東京23区,松村 亮佑,まつむら りょうすけ,松村,亮佑,まつむら,りょうすけ,37,共産,NA,新,0,0,0,0,58929,23.96
東京,23,東京23区,小倉 将信,おぐら まさのぶ,小倉,将信,おぐら,まさのぶ,36,自民,公明,前,2,1,1,0,110522,44.95
東京,23,東京23区,伊藤 俊輔,いとう しゅんすけ,伊藤,俊輔,いとう,しゅんすけ,38,希望,NA,新,0,1,0,1,76450,31.09
東京,24,東京24区,吉羽 美華,よしば みか,吉羽,美華,よしば,みか,37,希望,NA,新,0,1,0,0,39892,16.08
東京,24,東京24区,萩生田 光一,はぎうだ こういち,萩生田,光一,はぎうだ,こういち,54,自民,公明,前,4,1,1,0,122331,49.32
東京,24,東京24区,飯田 美弥子,いいだ みやこ,飯田,美弥子,いいだ,みやこ,57,共産,NA,新,0,1,0,0,24349,9.82
東京,24,東京24区,高橋 斉久,たかはし なりひさ,高橋,斉久,たかはし,なりひさ,44,立憲,NA,新,0,1,0,0,61441,24.77
東京,25,東京25区,井上 宣,いのうえ たかし,井上,宣,いのうえ,たかし,43,共産,NA,新,0,0,0,0,21031,9.73
