prefecture,name,yomi,lastname,firstname,last_kana,first_kana,age,party,recommended,status,previous,n_cand,win,votes,vshare,magnitude
北海道,大村 小太郎,おおむら こたろう,大村,小太郎,おおむら,こたろう,36,諸派,NA,新,0,12,0,75299,3.22,3
北海道,船橋 利実,ふなはし としみつ,船橋,利実,ふなはし,としみつ,61,自民党,公明,新,0,12,1,447232,19.13,3
北海道,浜田 智,はまだ さとし,浜田,智,はまだ,さとし,59,NHK党,NA,新,0,12,0,18760,0.8,3
北海道,斉藤 忠行,さいとう ただゆき,斉藤,忠行,さいとう,ただゆき,30,NHK党,NA,新,0,12,0,23039,0.99,3
北海道,沢田 英一,さわだ えいいち,沢田,英一,さわだ,えいいち,69,諸派,NA,新,0,12,0,16006,0.68,3
北海道,畠山 和也,はたやま かずや,畠山,和也,はたやま,かずや,50,共産党,NA,新,0,12,0,163252,6.98,3
北海道,長谷川 岳,はせがわ がく,長谷川,岳,はせがわ,がく,51,自民党,公明,現,2,12,1,595033,25.45,3
北海道,森山 佳則,もりやま よしのり,森山,佳則,もりやま,よしのり,55,諸派,NA,新,0,12,0,11625,0.5,3
北海道,臼木 秀剛,うすき ひでたけ,臼木,秀剛,うすき,ひでたけ,41,国民民主党,NA,新,0,12,0,91127,3.9,3
北海道,徳永 エリ,とくなが えり,徳永,エリ,とくなが,えり,60,立憲民主党,社民,現,2,12,1,455057,19.47,3
北海道,石川 知裕,いしかわ ともひろ,石川,知裕,いしかわ,ともひろ,49,立憲民主党,れいわ/社民,新,0,12,0,422392,18.07,3
北海道,石井 良恵,いしい よしえ,石井,良恵,いしい,よしえ,61,NHK党,NA,新,0,12,0,18831,0.81,3
青森,田名部 匡代,たなぶ まさよ,田名部,匡代,たなぶ,まさよ,53,立憲民主党,社民,現,1,4,1,277009,53.45,1
青森,斉藤 直飛人,さいとう なおひと,斉藤,直飛人,さいとう,なおひと,47,自民党,公明,新,0,4,0,216265,41.73,1
青森,中条 栄太郎,ちゅうじょう えいたろう,中条,栄太郎,ちゅうじょう,えいたろう,53,諸派,NA,新,0,4,0,13607,2.63,1
青森,佐々木 晃,ささき あきら,佐々木,晃,ささき,あきら,50,NHK党,NA,新,0,4,0,11335,2.19,1
岩手,広瀬 めぐみ,ひろせ めぐみ,広瀬,めぐみ,ひろせ,めぐみ,56,自民党,公明,新,0,5,1,264422,47.17,1
岩手,白鳥 顕志,しらとり けんし,白鳥,顕志,しらとり,けんし,51,諸派,NA,新,0,5,0,26960,4.81,1
岩手,木戸口 英司,きどぐち えいじ,木戸口,英司,きどぐち,えいじ,58,立憲民主党,NA,現,1,5,0,242174,43.2,1
岩手,松田 隆嗣,まつだ たかし,松田,隆嗣,まつだ,たかし,48,NHK党,NA,新,0,5,0,13352,2.38,1
岩手,大越 裕子,おおごし ひろこ,大越,裕子,おおごし,ひろこ,58,無所属,NA,新,0,5,0,13637,2.43,1
宮城,ローレンス 綾子,ろーれんす あやこ,ローレンス,綾子,ろーれんす,あやこ,52,諸派,NA,新,0,5,0,52938,5.81,1
宮城,桜井 充,さくらい みつる,桜井,充,さくらい,みつる,66,自民党,公明,現,4,5,1,472963,51.94,1
宮城,小畑 仁子,おばた きみこ,小畑,仁子,おばた,きみこ,44,立憲民主党,NA,新,0,5,0,271455,29.81,1
宮城,平井 みどり,ひらい みどり,平井,みどり,ひらい,みどり,67,日本維新の会,NA,新,0,5,0,91924,10.1,1
宮城,中江 友哉,なかえ ともや,中江,友哉,なかえ,ともや,30,NHK党,NA,新,0,5,0,21286,2.34,1
秋田,本田 幸久,ほんだ ゆきひさ,本田,幸久,ほんだ,ゆきひさ,40,NHK党,NA,新,0,6,0,6368,1.39,1
秋田,藤本 友里,ふじもと ゆり,藤本,友里,ふじもと,ゆり,43,共産党,NA,新,0,6,0,19983,4.37,1
