"year","ku","kun","party","name","age","status","nocand","wl","rank","previous","vote","voteshare","eligible","turnout","exp","experience","expm"
2009,"tokyo",9,"DPJ","KIUCHI, TAKATANE",43,"challenger",4,"won",1,1,140109,47.2,444929,67.88,7463347,0,7.463347
2009,"tokyo",9,"LDP","SUGAWARA, ISSHU",37,"incumbent",4,"zombie",2,3,126026,42.5,444929,67.88,15215226,1,15.215226
2009,"tokyo",9,"JCP","KISHI, YOSHINOBU",54,"challenger",4,"lost",3,0,26796,9,444929,67.88,3139554,0,3.139554
2009,"tokyo",9,"H","OKIHARA, TADAHIRO",35,"challenger",4,"lost",4,0,3644,1.2,444929,67.88,1023646,0,1.023646
2009,"tokyo",10,"DPJ","EBATA, TAKAKO",49,"challenger",3,"won",1,1,105512,47.2,346039,65.66,8058481,0,8.058481
2009,"tokyo",10,"LDP","KOIKE, YURIKO",57,"incumbent",3,"zombie",2,6,96739,43.3,346039,65.66,11899608,1,11.899608
2009,"tokyo",10,"JCP","YAMAMOTO, TOSHIE",60,"challenger",3,"lost",3,0,21092,9.4,346039,65.66,3400428,0,3.400428
2009,"tokyo",11,"LDP","SHIMOMURA, HAKUBUN",55,"incumbent",5,"won",1,5,117472,42.4,439676,64.95,11397659,1,11.397659
2009,"tokyo",11,"NPJ","ARITA, YOSHIFU",57,"challenger",5,"lost",2,0,113998,41.1,439676,64.95,1580717,0,1.580717
2009,"tokyo",11,"JCP","TOKUTOME, MICHINOBU",57,"challenger",5,"lost",3,0,36487,13.2,439676,64.95,4576480,0,4.57648
2009,"tokyo",11,"H","MAEDA, KOICHI",38,"challenger",5,"lost",4,0,6853,2.5,439676,64.95,1116466,0,1.116466
2009,"tokyo",11,"H","WAGO, HIEDNORI",67,"challenger",5,"lost",5,0,2360,0.9,439676,64.95,474976,0,0.474976
2009,"tokyo",12,"DPJ","AOKI, AI",44,"ex",4,"won",1,2,118753,45.2,393158,69.06,6987740,1,6.98774
2009,"tokyo",12,"CGP","OTA, AKIHIRO",63,"incumbent",4,"lost",2,5,108679,41.4,393158,69.06,7401108,1,7.401108
2009,"tokyo",12,"JCP","IKEUCHI, SAORI",26,"challenger",4,"lost",3,0,31475,12,393158,69.06,2381893,0,2.381893
2009,"tokyo",12,"H","YOKUNI, HIDEYUKI",33,"challenger",4,"lost",4,0,3813,1.5,393158,69.06,2394643,0,2.394643
2009,"tokyo",13,"DPJ","HIRAYAMA, TAIRO",37,"challenger",4,"won",1,1,114653,44.9,414724,62.82,3609262,0,3.609262
2009,"tokyo",13,"LDP","KAMOSHITA, ICHIRO",60,"incumbent",4,"zombie",2,6,111590,43.7,414724,62.82,12331108,1,12.331108
2009,"tokyo",13,"JCP","WATANABE, SHUJI",69,"challenger",4,"lost",3,0,26259,10.3,414724,62.82,4262410,0,4.26241
2009,"tokyo",13,"H","FUJIYAMA, KAZUMASA",49,"challenger",4,"lost",4,0,2873,1.1,414724,62.82,1355971,0,1.355971
2009,"tokyo",14,"DPJ","KIMURA, TAKESHI",38,"challenger",4,"won",1,1,110624,47.8,361677,65.49,3459813,0,3.459813
2009,"tokyo",14,"LDP","MATSUSHIMA, MIDORI",53,"incumbent",4,"lost",2,3,93675,40.5,361677,65.49,8706012,1,8.706012
2009,"tokyo",14,"JCP","ITO, FUMIO",65,"challenger",4,"lost",3,0,23705,10.2,361677,65.49,2368597,0,2.368597
2009,"tokyo",14,"H","YOSHIDA, MASAFUMI",40,"challenger",4,"lost",4,0,3409,1.5,361677,65.49,1392284,0,1.392284
2009,"tokyo",15,"DPJ","AZUMA, SHOZO",58,"ex",5,"won",1,4,105131,42.4,375924,67.25,4074135,1,4.074135
2009,"tokyo",15,"LDP","KIMURA, BEN",70,"incumbent",5,"lost",2,3,80054,32.3,375924,67.25,21318705,1,21.318705
2009,"tokyo",15,"minna","KAKIZAWA, MITO",38,"challenger",5,"zombie",3,1,38808,15.6,375924,67.25,10346769,0,10.346769
2009,"tokyo",15,"JCP","YOSHIDA, TOSHIO",61,"challenger",5,"lost",4,0,22176,8.9,375924,67.25,5452454,0,5.452454
2009,"tokyo",15,"H","IDERA, HIDETO",36,"challenger",5,"lost",5,0,1843,0.7,375924,67.25,974094,0,0.974094
2009,"tokyo",16,"DPJ","HATSUHIKA, AKIHIRO",40,"challenger",4,"won",1,1,128400,47.3,450445,61.94,4463262,0,4.463262
2009,"tokyo",16,"LDP","SHIMAMURA, YOSHINOBU",75,"incumbent",4,"lost",2,9,113634,41.9,450445,61.94,15082857,1,15.082857
2009,"tokyo",16,"JCP","KAWAI, KYOICHI",57,"challenger",4,"lost",3,0,23385,8.6,450445,61.94,3578769,0,3.578769
2009,"tokyo",16,"H","KOJIMA, ICHIRO",38,"challenger",4,"lost",4,0,5763,2.1,450445,61.94,2087404,0,2.087404
2009,"tokyo",17,"LDP","HIRASAWA, KATSUEI",63,"incumbent",4,"won",1,5,138512,51.4,436866,65.22,8349611,1,8.349611
2009,"tokyo",17,"DPJ","HAYAKAWA, KUMIKO",38,"challenger",4,"zombie",2,1,106892,39.6,436866,65.22,4158164,0,4.158164
2009,"tokyo",17,"JCP","ARAI, SUGIO",50,"challenger",4,"lost",3,0,21448,8,436866,65.22,3398526,0,3.398526
2009,"tokyo",17,"H","FUKAO, IPPEI",28,"challenger",4,"lost",4,0,2787,1,436866,65.22,1471353,0,1.471353
2009,"tokyo",18,"DPJ","KAN, NAOTO",62,"incumbent",4,"won",1,10,163446,59.5,409067,68.24,8494993,1,8.494993
2009,"tokyo",18,"LDP","TSUCHIYA, MASATADA",67,"incumbent",4,"lost",2,1,88325,32.1,409067,68.24,6966331,1,6.966331
2009,"tokyo",18,"JCP","KOIZUMI, TAMIJI",31,"challenger",4,"lost",3,0,21004,7.6,409067,68.24,1448765,0,1.448765
2009,"tokyo",18,"H","MORI, KOJU",62,"challenger",4,"lost",4,0,2087,0.8,409067,68.24,1136264,0,1.136264
2009,"tokyo",19,"DPJ","SUEMATSU, YOSHINORI",52,"incumbent",5,"won",1,5,170437,55,462375,68.11,1946551,1,1.946551
2009,"tokyo",19,"LDP","MATSUMOTO, YOHEI",35,"incumbent",5,"lost",2,1,105721,34.1,462375,68.11,7032767,1,7.032767
2009,"tokyo",19,"JCP","SHIMIZU, AKIO",58,"challenger",5,"lost",3,0,27860,9,462375,68.11,1310178,0,1.310178
2009,"tokyo",19,"independent","TAKAHASHI, SAEKO",67,"challenger",5,"lost",4,0,2912,0.9,462375,68.11,NA,0,NA
2009,"tokyo",19,"H","ISHIDA, SHINICHIRO",43,"challenger",5,"lost",5,0,2740,0.9,462375,68.11,1185913,0,1.185913
2009,"tokyo",20,"DPJ","KATO, KOICHIB",45,"incumbent",4,"won",1,4,136294,51.2,398174,68.1,5134342,1,5.134342
2009,"tokyo",20,"LDP","KIHARA, SEIJI",39,"incumbent",4,"lost",2,1,95718,36,398174,68.1,11195694,1,11.195694
2009,"tokyo",20,"JCP","IKEDA, MARIKO",54,"challenger",4,"lost",3,0,31475,11.8,398174,68.1,4402376,0,4.402376
2009,"tokyo",20,"H","ABE, TAKAYUKI",33,"challenger",4,"lost",4,0,2560,1,398174,68.1,2649505,0,2.649505
2009,"tokyo",21,"DPJ","NAGASHIMA, AKIHISA",47,"incumbent",4,"won",1,3,142418,57.6,377839,66.62,7812703,1,7.812703
2009,"tokyo",21,"LDP","OGAWA, YUICHI",63,"incumbent",4,"lost",2,1,79628,32.2,377839,66.62,5274813,1,5.274813
2009,"tokyo",21,"JCP","HOSHI, ATSUMARO",56,"challenger",4,"lost",3,0,21155,8.6,377839,66.62,5274115,0,5.274115
2009,"tokyo",21,"H","YAMAMOTO, ATSUHI",45,"challenger",4,"lost",4,0,3976,1.6,377839,66.62,1180943,0,1.180943
2009,"tokyo",22,"DPJ","YAMAHANA, IKUO",42,"ex",4,"won",1,3,154904,50.6,459207,67.92,4462353,1,4.462353
2009,"tokyo",22,"LDP","ITO, TATSUYA",48,"incumbent",4,"lost",2,5,117315,38.3,459207,67.92,6199753,1,6.199753
2009,"tokyo",22,"JCP","YOSHIOKA, MASAFUMI",35,"challenger",4,"lost",3,0,28556,9.3,459207,67.92,3414934,0,3.414934
2009,"tokyo",22,"H","TSUJIMURA, TOMOKO",36,"challenger",4,"lost",4,0,5501,1.8,459207,67.92,2019160,0,2.01916
2009,"tokyo",23,"DPJ","KUSHIBUCHI, MARI",41,"challenger",4,"won",1,1,168346,54.4,461006,68.82,4604848,0,4.604848
2009,"tokyo",23,"LDP","ITO, KOSUKE",67,"incumbent",4,"lost",2,9,108528,35.1,461006,68.82,10654796,1,10.654796
2009,"tokyo",23,"JCP","FURUHASHI, RYOSUKE",48,"challenger",4,"lost",3,0,27699,9,461006,68.82,2792548,0,2.792548
2009,"tokyo",23,"H","MATSUO, YOHEI",30,"challenger",4,"lost",4,0,4885,1.6,461006,68.82,1459719,0,1.459719
2009,"tokyo",24,"DPJ","AKUTSU, YUKIHIKO",53,"ex",4,"won",1,3,148719,49.5,448401,68.47,8406746,1,8.406746
2009,"tokyo",24,"LDP","HAGUDA, KOICHI",45,"incumbent",4,"lost",2,2,121867,40.5,448401,68.47,19204975,1,19.204975
2009,"tokyo",24,"JCP","HASEGAWA, AKIRA",37,"challenger",4,"lost",3,0,26392,8.8,448401,68.47,4417379,0,4.417379
2009,"tokyo",24,"H","ONOZAWA, TOMOKO",55,"challenger",4,"lost",4,0,3762,1.3,448401,68.47,1896529,0,1.896529
2009,"tokyo",25,"LDP","INOUE, SHINJI",39,"incumbent",5,"won",1,3,106201,52.5,319057,65.24,7085062,1,7.085062
2009,"tokyo",25,"NNP","MASAGO, TARO",53,"challenger",5,"lost",2,0,48373,23.9,319057,65.24,8808553,0,8.808553
2009,"tokyo",25,"JCP","SUZUKI, OSAMU",52,"challenger",5,"lost",3,0,21044,10.4,319057,65.24,3853069,0,3.853069
2009,"tokyo",25,"independent","SUZUKI, YASUSHI",49,"challenger",5,"lost",4,0,19874,9.8,319057,65.24,1726089,0,1.726089
2009,"tokyo",25,"H","KOBUNA, MASATO",41,"challenger",5,"lost",5,0,6673,3.3,319057,65.24,1482301,0,1.482301
2009,"tottori",1,"LDP","ISHIBA, SHIGERU",52,"incumbent",4,"won",1,8,118121,62,258394,74.66,8453075,1,8.453075
2009,"tottori",1,"DPJ","OKUDA, YASUAKI",49,"challenger",4,"lost",2,0,63383,33.3,258394,74.66,6169250,0,6.16925
2009,"tottori",1,"JCP","IWANAGA, NAOYUKI",52,"challenger",4,"lost",3,0,7336,3.8,258394,74.66,851526,0,0.851526
2009,"tottori",1,"H","HOSOKAWA, YUKIHIRO",40,"challenger",4,"lost",4,0,1757,0.9,258394,74.66,2320186,0,2.320186
2009,"tottori",2,"LDP","AKAZAWA, RYOSEI",48,"incumbent",3,"won",1,2,84659,49.6,228476,76.01,11074488,1,11.074488
2009,"tottori",2,"DPJ","YUHARA, SHUNJI",46,"challenger",3,"zombie",2,1,84033,49.2,228476,76.01,6643132,0,6.643132
2009,"tottori",2,"H","KANGAI, HIDEO",33,"challenger",3,"lost",3,0,2082,1.2,228476,76.01,2110699,0,2.110699
2009,"toyama",1,"DPJ","MURAI, MUNEAKI",36,"incumbent",4,"won",1,3,90377,49.9,261895,70,9895952,1,9.895952
2009,"toyama",1,"LDP","NAGASE, JINEN",65,"incumbent",4,"zombie",2,7,82040,45.3,261895,70,22218338,1,22.218338
2009,"toyama",1,"JCP","SAEKI, MEGUMI",28,"challenger",4,"lost",3,0,6974,3.9,261895,70,752150,0,0.75215
2009,"toyama",1,"H","YOSHIDA, KAHORU",54,"challenger",4,"lost",4,0,1684,0.9,261895,70,1788574,0,1.788574
2009,"toyama",2,"LDP","MIYAKOSHI, MITSUHIRO",58,"incumbent",3,"won",1,5,105828,57.8,257917,72.78,20206113,1,20.206113
2009,"toyama",2,"SDP","FUJII, SOICHI",61,"challenger",3,"lost",2,0,73597,40.2,257917,72.78,5640052,0,5.640052
2009,"toyama",2,"H","ONO, HIKOJI",41,"challenger",3,"lost",3,0,3579,2,257917,72.78,1262147,0,1.262147
2009,"toyama",3,"LDP","TACHIBANA, KEIICHIRO",48,"challenger",4,"won",1,1,134315,45.9,385190,76.96,15552729,0,15.552729
2009,"toyama",3,"independent","AIMOTI, YOSHIHIKO",53,"challenger",4,"lost",2,0,105483,36,385190,76.96,10776485,0,10.776485
2009,"toyama",3,"independent","SHIBATA, TAKUMI",48,"challenger",4,"lost",3,0,50752,17.3,385190,76.96,7094409,0,7.094409
2009,"toyama",3,"H","DEGUCHI, YUICHI",32,"challenger",4,"lost",4,0,2249,0.8,385190,76.96,1051149,0,1.051149
2009,"wakayama",1,"DPJ","KISHIMOTO, SHUHEI",53,"challenger",4,"won",1,1,120309,58.1,314432,64.52,8944684,0,8.944684
2009,"wakayama",1,"LDP","TANIMOTO, TATSUYA",42,"incumbent",4,"lost",2,3,72109,34.9,314432,64.52,9419005,1,9.419005
2009,"wakayama",1,"JCP","KUNISHIGE, HIDEAKI",48,"challenger",4,"lost",3,0,12529,6.1,314432,64.52,2681737,0,2.681737
2009,"wakayama",1,"H","SAITO, MASAHIRO",57,"challenger",4,"lost",4,0,1956,0.9,314432,64.52,1876590,0,1.87659
2009,"wakayama",2,"DPJ","SAKAGUCHI, NAOTO",46,"challenger",3,"won",1,1,90134,54.8,236185,71.25,3510824,0,3.510824
2009,"wakayama",2,"LDP","ISHIDA, MASATOSHI",57,"incumbent",3,"zombie",2,4,71343,43.4,236185,71.25,12138241,1,12.138241
2009,"wakayama",2,"H","KUBO, MIYAKO",48,"challenger",3,"lost",3,0,3089,1.9,236185,71.25,1792501,0,1.792501
2009,"wakayama",3,"LDP","NIKAI, TOSHIHIRO",70,"incumbent",3,"won",1,9,117237,52.1,312730,72.48,7754667,1,7.754667
2009,"wakayama",3,"DPJ","TAMAKI, KIMIYOSHI",54,"challenger",3,"zombie",2,1,102342,45.4,312730,72.48,3787435,0,3.787435
2009,"wakayama",3,"H","MINATO, YUKO",26,"challenger",3,"lost",3,0,5634,2.5,312730,72.48,2706505,0,2.706505
2009,"yamagata",1,"DPJ","KANO, MICHIHIKO",67,"ex",5,"won",1,11,106202,46.2,306052,75.71,13832920,1,13.83292
2009,"yamagata",1,"LDP","ENDO, TOSHIAKI",59,"incumbent",5,"zombie",2,5,104911,45.7,306052,75.71,12173209,1,12.173209
2009,"yamagata",1,"independent","ITO, KAORI",27,"challenger",5,"lost",3,0,11419,5,306052,75.71,NA,0,NA
2009,"yamagata",1,"JCP","SATO, MASAYUKI",36,"challenger",5,"lost",4,0,6021,2.6,306052,75.71,2000756,0,2.000756
2009,"yamagata",1,"H","MORI, DAIGORO",35,"challenger",5,"lost",5,0,1149,0.5,306052,75.71,1968262,0,1.968262
2009,"yamagata",2,"DPJ","KONDO, YOSUKE",44,"incumbent",3,"won",1,3,166287,65.5,344315,75.22,11018735,1,11.018735
2009,"yamagata",2,"LDP","SUZUKI, HIRONORI",42,"challenger",3,"lost",2,0,80995,31.9,344315,75.22,7691347,0,7.691347
2009,"yamagata",2,"H","GOTO, KATSUHIKO",44,"challenger",3,"lost",3,0,6459,2.5,344315,75.22,3194792,0,3.194792
2009,"yamagata",3,"LDP","KATO, KOICHIA",70,"incumbent",4,"won",1,13,130502,56.9,318892,73.85,8968494,1,8.968494
2009,"yamagata",3,"SDP","YOSHIIZUMI, HIDEO",61,"challenger",4,"zombie",2,1,80362,35,318892,73.85,6069127,0,6.069127
2009,"yamagata",3,"JCP","HASEGAWA, TSUYOSHI",31,"challenger",4,"lost",3,0,13789,6,318892,73.85,2257947,0,2.257947
2009,"yamagata",3,"H","SHIROTORI, RYOTA",32,"challenger",4,"lost",4,0,4880,2.1,318892,73.85,1778698,0,1.778698
2009,"yamaguchi",1,"LDP","KOMURA, MASAHIKO",67,"incumbent",4,"won",1,10,142103,57,359225,70.39,10869959,1,10.869959
2009,"yamaguchi",1,"DPJ","TAKAMURA, TSUTOMU",35,"challenger",4,"zombie",2,1,94253,37.8,359225,70.39,5655453,0,5.655453
2009,"yamaguchi",1,"JCP","YOSHIDA, SADAYOSHI",56,"challenger",4,"lost",3,0,10114,4.1,359225,70.39,1035024,0,1.035024
2009,"yamaguchi",1,"H","MURATA, JUNICHI",45,"challenger",4,"lost",4,0,2889,1.2,359225,70.39,1825178,0,1.825178
2009,"yamaguchi",2,"DPJ","HIRAOKA, HIDEO",55,"incumbent",3,"won",1,4,117571,51.7,305610,75.5,7535021,1,7.535021
2009,"yamaguchi",2,"LDP","YAMAMOTO, SHIGETARO",60,"challenger",3,"lost",2,0,105940,46.5,305610,75.5,8120170,0,8.12017
2009,"yamaguchi",2,"H","KAWAI, MIWAKO",47,"challenger",3,"lost",3,0,4118,1.8,305610,75.5,3186659,0,3.186659
2009,"yamaguchi",3,"LDP","KAWAMURA, TAKEO",66,"incumbent",3,"won",1,7,115757,60.1,278585,70.32,18887862,1,18.887862
2009,"yamaguchi",3,"DPJ","MIURA, NOBORU",39,"challenger",3,"lost",2,0,73760,38.3,278585,70.32,6191243,0,6.191243
2009,"yamaguchi",3,"H","TSUDA, SHUICHI",46,"challenger",3,"lost",3,0,3159,1.6,278585,70.32,1852062,0,1.852062
2009,"yamaguchi",4,"LDP","ABE, SHINZO",54,"incumbent",3,"won",1,6,121365,64.3,269088,71.05,7350671,1,7.350671
2009,"yamaguchi",4,"DPJ","TOKURA, TAKAKO",50,"challenger",3,"lost",2,0,58795,31.1,269088,71.05,6018728,0,6.018728
2009,"yamaguchi",4,"JCP","KISAKI, DAISUKE",54,"challenger",3,"lost",3,0,8725,4.6,269088,71.05,1400789,0,1.400789
2009,"yamanashi",1,"DPJ","OZAWA, SAKIHITO",55,"incumbent",4,"won",1,6,91422,60.2,219110,70.81,22106428,1,22.106428
2009,"yamanashi",1,"LDP","AKAIKE, MASAAKI",48,"incumbent",4,"lost",2,1,46881,30.9,219110,70.81,5800811,1,5.800811
2009,"yamanashi",1,"JCP","ENDO, AKIKO",57,"challenger",4,"lost",3,0,11972,7.9,219110,70.81,687442,0,0.687442
2009,"yamanashi",1,"H","HAYASE, HIROYUKI",48,"challenger",4,"lost",4,0,1480,1,219110,70.81,1663310,0,1.66331
2009,"yamanashi",2,"DPJ","SAKAGUCHI, TAKEHIRO",38,"challenger",4,"won",1,1,66868,37.6,234746,77.09,7099469,0,7.099469
2009,"yamanashi",2,"independent","NAGASAKI, KOTARO",41,"incumbent",4,"lost",2,1,57213,32.1,234746,77.09,7916556,1,7.916556
2009,"yamanashi",2,"LDP","HORIUCHI, MITSUO",79,"incumbent",4,"lost",3,10,52773,29.6,234746,77.09,11611677,1,11.611677
2009,"yamanashi",2,"H","MIYAMATSU, HIROYUKI",69,"challenger",4,"lost",4,0,1214,0.7,234746,77.09,1326378,0,1.326378
2009,"yamanashi",3,"DPJ","GOTO, HITOSHI",52,"incumbent",3,"won",1,3,112894,62.7,248102,74.7,6795969,1,6.795969
2009,"yamanashi",3,"LDP","ONO, JIRO",56,"incumbent",3,"lost",2,1,63611,35.3,248102,74.7,12876644,1,12.876644
2009,"yamanashi",3,"H","SAKURADA, DAISUKE",47,"challenger",3,"lost",3,0,3663,2,248102,74.7,1953819,0,1.953819
