year,ku,kun,party,name,age,status,nocand,wl,rank,previous,vote,voteshare,eligible,turnout,exp
1996,aichi,9,305,"HIBI, SHIZUO",63,1,7,0,4,0,20290,8.7,393953,60.58,2072270
1996,aichi,9,1014,"YASUDA, REIKO",50,1,7,0,5,0,921,0.4,393953,60.58,.
1996,aichi,9,1,"OI, TADANORI",48,1,7,0,6,0,422,0.2,393953,60.58,.
1996,aichi,9,1038,"SHIRAI, SAKAE",59,1,7,0,7,0,338,0.1,393953,60.58,.
1996,aichi,10,1000,"ESAKI, TETSUMA",53,2,7,1,1,2,110820,46.4,437148,56.03,18863794
1996,aichi,10,800,"MORI, HARUO",50,1,7,0,2,0,72178,30.2,437148,56.03,9513777
1996,aichi,10,305,"KISHINO, TOMOKO",46,1,7,0,3,0,29003,12.2,437148,56.03,2251163
1996,aichi,10,1001,"NAGANAWA, SACHIKO",48,1,7,0,4,0,20575,8.6,437148,56.03,5656242
1996,aichi,10,1,"SHIMIZU, SENYA",26,1,7,0,5,0,5103,2.1,437148,56.03,4323761
1996,aichi,10,1038,"TAKAHASHI, SHINSUKE",54,1,7,0,6,0,683,0.3,437148,56.03,.
1996,aichi,10,1,"ATOJI, TOYOJI",46,1,7,0,7,0,284,0.1,437148,56.03,.
1996,aichi,11,1000,"ITO, EISEI",54,2,3,1,1,5,123404,55.5,310462,73,14561501
1996,aichi,11,800,"URANO, YASUOKI",54,2,3,0,2,6,85766,38.6,310462,73,15945645
1996,aichi,11,305,"OMURA, YOSHINORI",40,1,3,0,3,0,13260,6,310462,73,1932893
1996,aichi,12,800,"SUGIURA, SEIKEN",62,3,3,1,1,3,133257,55.2,395441,63.55,15571849
1996,aichi,12,1000,"KAWASHIMA, MINORU",60,2,3,0,2,2,79950,33.1,395441,63.55,5713734
1996,aichi,12,305,"YAMADA, MASUMI",36,1,3,0,3,0,28358,11.7,395441,63.55,2225778
1996,aichi,13,1000,"SHIMA, SATOSHI",38,1,3,1,1,1,87991,46.8,330753,58.69,8689828
1996,aichi,13,800,"OMURA, HIDEAKI",36,1,3,2,2,1,80629,42.9,330753,58.69,9288155
1996,aichi,13,305,"TAKABAYASHI, MAKOTO",53,1,3,0,3,0,19484,10.4,330753,58.69,2056944
1996,aichi,14,800,"ASANO, KATSUHITO",58,3,4,1,1,2,72661,49.8,254598,59.19,11907557
1996,aichi,14,1000,"YOSHITOMI, KAZUO",39,1,4,0,2,0,44421,30.5,254598,59.19,7535268
1996,aichi,14,305,"KURITANI, KENICHIRO",47,1,4,0,3,0,14646,10,254598,59.19,2292923
1996,aichi,14,1001,"FUJIKAWA, CHIAKI",55,1,4,0,4,0,14149,9.7,254598,59.19,10863379
1996,aichi,15,800,"MURATA, KEIJIRO",72,2,5,1,1,10,74963,45.3,315533,54.29,11227933
1996,aichi,15,1000,"KIMATA, YOSHITAKE",31,1,5,0,2,0,64486,39,315533,54.29,9416599
1996,aichi,15,305,"TSUKADA, EIJI",41,1,5,0,3,0,22851,13.8,315533,54.29,2616378
1996,aichi,15,1038,"MATUMOTO, SHIGEKO",51,1,5,0,4,0,1796,1.1,315533,54.29,.
1996,aichi,15,1014,"MATSUSHITA, MASATOSHI",51,1,5,0,5,0,1398,0.8,315533,54.29,.
1996,akita,1,1000,"SATO, TAKAO",61,3,3,1,1,4,95194,45.5,341268,62.83,13183630
1996,akita,1,800,"FUTADA, KOJI",58,2,3,2,2,4,84625,40.4,341268,62.83,16790148
1996,akita,1,305,"OGIWARA, KAZUKO",55,1,3,0,3,0,29514,14.1,341268,62.83,3198173
1996,akita,2,800,"NOROTA, HOSEI",66,2,4,1,1,5,86677,54.9,236702,68.88,12138166
